year,statefip,state,year_legalized,pot,ever_legalized,deaths,population,crude_death_rate,standard_error_for_crude_rate,low_confidence_limit_for_crude_rate,upper_confidence_limit_for_crude_rate,female_prop,male_prop,over_50_prop,under_30_prop,under_50_prop,american_indian_prop,asian_prop,black_prop,other_race_prop,white_prop,married_prop,not_married_prop,college_prop,higher_college_prop,hs_prop,less_hs_prop,some_college_prop,employed_prop,not_employed_prop,mean_children,mean_children_u5,mean_hrs_worked,median_income,sex,age_group,race_and_hispanic_origin
2000,1,Alabama,0,0,0,197,4447100,4.4299,0.31561,3.8112,5.0485,0.53132099967543,0.46867900032456994,0.3070431678026615,0.18565400843881857,0.50730282375852,0.004219409282700422,0.009412528399870172,0.2005842259006816,0.016877637130801686,0.7689061992859462,0.6471924699772801,0.3528075300227199,0.14995131450827653,0.07400194741966894,0.3933787731256086,0.13988964621876016,0.24277831872768582,0.7007465108730931,0.29925348912690686,0.8438818565400844,0.17429406037000975,32.52612788055826,17000,Both Sexes,All Ages,All Races-All Origins
2001,1,Alabama,0,0,0,216,4467634,4.8348,0.32896,4.19,5.4795,0.5293244246473645,0.4706755753526355,0.3494538127054831,0.16650758298865204,0.4840386043058649,0.005302789267154523,0.008484462827447237,0.21211157068618094,0.017817371937639197,0.7562838052815781,0.6572277017711317,0.3427722982288684,0.14179658500371195,0.07805705801251459,0.4086329409269276,0.1368119630925867,0.2347014529642592,0.6842719270336197,0.31572807296638034,0.785449146250928,0.1635380209990455,32.02471099798494,17000,Both Sexes,All Ages,All Races-All Origins
2002,1,Alabama,0,0,0,211,4480089,4.7097,0.32423,4.0742,5.3452,0.5290315133325638,0.47096848666743624,0.34872446034860904,0.15675862865058293,0.494516911000808,0.004848205009811844,0.009927276924852822,0.21562968948401245,0.021008888375851322,0.7485859402054715,0.6713609604063258,0.32863903959367424,0.15271845780907306,0.08622878910308207,0.40032321366732077,0.12997806764400324,0.23075147177652083,0.6886759782985109,0.3113240217014891,0.8280041556042941,0.16380006926007157,31.95752048943784,18000,Both Sexes,All Ages,All Races-All Origins
2003,1,Alabama,0,0,0,197,4503491,4.3744,0.31166,3.7635,4.9852,0.5306012692266322,0.46939873077336774,0.3522641712380338,0.15295256534365925,0.494783263418307,0.004194901581155212,0.010003226847370119,0.2131870495858879,0.017317414219640743,0.755297407765946,0.6549424545552329,0.34505754544476713,0.159513821662902,0.08325266214908035,0.39389050231257394,0.12939657954178768,0.23394643433365603,0.6822630956222437,0.31773690437775626,0.8023018177906852,0.14875766376250404,31.569000752931053,18000,Both Sexes,All Ages,All Races-All Origins
2004,1,Alabama,0,0,0,283,4530729,6.2462,0.3713,5.5185,6.974,0.5277205164370186,0.47227948356298144,0.37322339155907563,0.1688184875773028,0.4579581208636216,0.005858739286101768,0.009005099273082347,0.2143864598025388,0.014321362699359878,0.7564283389389173,0.654117391776066,0.345882608223934,0.15438862970597808,0.0930888575458392,0.3784311598133883,0.12693935119887165,0.24715200173592275,0.6835195833785397,0.31648041662146037,0.7896278615601606,0.15493110556580234,31.517955950960182,17500,Both Sexes,All Ages,All Races-All Origins
2005,1,Alabama,0,0,0,283,4569805,6.1928,0.36813,5.4713,6.9143,0.5320376556331613,0.46796234436683876,0.3746583662313999,0.16318706346796236,0.4621545703006377,0.006566960218645612,0.011767385362890981,0.20775129061645917,0.017081688430003038,0.7568326753720012,0.6468266018827816,0.3531733981172183,0.1503188581840267,0.08643334345581537,0.39671272395991497,0.13099757060431216,0.23553750379593077,0.6721454600668084,0.32785453993319164,0.8093683571211661,0.15457030063771637,31.03287276040085,17000,Both Sexes,All Ages,All Races-All Origins
2006,1,Alabama,0,0,0,398,4628981,8.598,0.43098,7.7533,9.4427,0.5238147297839,0.4761852702161,0.373820196056995,0.16431616923581502,0.46186363470719,0.006267993148937721,0.011807149885208265,0.21613643817645128,0.01796581757224591,0.7478226012171568,0.6283663131810066,0.3716336868189935,0.15072337013957218,0.08461790751065923,0.39681498487664446,0.1316642979483255,0.23617943952479867,0.6732261943806712,0.32677380561932873,0.781859261688714,0.14824532633650378,30.97343391275828,16900,Both Sexes,All Ages,All Races-All Origins
2007,1,Alabama,0,0,0,511,4672840,10.9355,0.48376,9.9874,11.8837,0.5224123584530227,0.4775876415469773,0.3848630657356825,0.1724973770847654,0.4426395571795521,0.005897037010238414,0.011179045620636012,0.21616439347346333,0.017763467313049456,0.7489960565826128,0.623783510003256,0.37621648999674395,0.15212908360768423,0.08491009731919974,0.39676567417966063,0.1307478021779241,0.23544734271553128,0.6713577656380015,0.32864223436199846,0.772113888788394,0.15129698636084077,30.737563763973807,18000,Both Sexes,All Ages,All Races-All Origins
2008,1,Alabama,0,0,0,607,4718206,12.8651,0.52218,11.8416,13.8885,0.5240270418417687,0.4759729581582313,0.38618673488032157,0.16762287593641512,0.4461903891832633,0.0061026859126621594,0.009903160972044583,0.2233509957975516,0.01691942262013521,0.7437237346976064,0.6190023752969122,0.3809976247030879,0.16214142152384434,0.08463365613009319,0.3865887082039101,0.11894756075278641,0.24768865338936596,0.6902247396309154,0.3097752603690846,0.7667093002009867,0.14562397222729764,30.680248492600036,19000,Both Sexes,All Ages,All Races-All Origins
2009,1,Alabama,0,0,0,630,4757938,13.241,0.52754,12.2071,14.275,0.5210385914991997,0.47896140850080027,0.38840476613907166,0.17044282411524098,0.44115240974568737,0.00686466299128579,0.010848301618353193,0.2216966032367064,0.01977592032722746,0.7408145118264272,0.6091410279210386,0.3908589720789614,0.1581006580117375,0.08127334163258047,0.38310510403699094,0.12399075226747287,0.2535301440512182,0.6563756002134092,0.34362439978659076,0.7788724879957318,0.15401031477858795,29.362724524275297,17500,Both Sexes,All Ages,All Races-All Origins
2010,1,Alabama,0,0,0,547,4779736,11.4441,0.48932,10.4851,12.4032,0.5235041177756723,0.47649588222432765,0.39078784345164347,0.17411267400335254,0.435099482545004,0.006595729174258436,0.011369433714743823,0.2349318562786969,0.017855841410975876,0.729247139421325,0.5931783397711538,0.4068216602288463,0.15673055899715765,0.08614532468478973,0.37923620727352236,0.12127395962393411,0.2566139494205962,0.6483128051891262,0.35168719481087385,0.7667079658916989,0.15549158224619197,28.694810873843014,16000,Both Sexes,All Ages,All Races-All Origins
2011,1,Alabama,0,0,0,552,4802740,11.4934,0.48919,10.5346,12.4523,0.5162905475483709,0.48370945245162905,0.4130038267586996,0.17467186438253282,0.4123243088587676,0.005758020099424198,0.01115839919888416,0.25614248417438573,0.018168162798183184,0.7087729337291228,0.568971066843103,0.4310289331568971,0.14280605128571938,0.08272236329172776,0.3863953363613605,0.12878652408712135,0.25928972497407105,0.6176460069382353,0.3823539930617646,0.7276921426272308,0.1408747898859125,27.5269840134473,14400,Both Sexes,All Ages,All Races-All Origins
2012,1,Alabama,0,0,0,562,4822023,11.6549,0.49163,10.6913,12.6185,0.5217170985956276,0.47828290140437235,0.4192847835529173,0.16827131895178804,0.41244389749529464,0.006261763428405965,0.011220500941074272,0.2546329810337339,0.01726509338352396,0.7106196612132619,0.5760822354133488,0.4239177645866512,0.14883451570870132,0.08437092804401332,0.3918488489937744,0.11589691617199942,0.2590487910815115,0.6261039525119444,0.3738960474880556,0.7231069929057478,0.13359635152743593,27.601382655277256,15000,Both Sexes,All Ages,All Races-All Origins
2013,1,Alabama,0,0,0,598,4833722,12.3714,0.5059,11.3798,13.363,0.5148882021450646,0.48511179785493547,0.4175240865297219,0.1700054535538993,0.4124704599163788,0.004871841483366661,0.012106889656426104,0.24221050718051262,0.019451008907471368,0.7213597527722232,0.5716778767496818,0.4283221232503181,0.15578985638974732,0.08554808216687874,0.38476640610798035,0.10925286311579713,0.2646427922195964,0.6316669696418833,0.3683330303581167,0.7279767315033631,0.13593892019632794,27.806980548991092,15300,Both Sexes,All Ages,All Races-All Origins
2014,1,Alabama,0,0,0,723,4849377,14.9091,0.55448,13.8224,15.9959,0.5174425002751183,0.4825574997248817,0.42096768277025787,0.1717471846227211,0.40728513260702104,0.005245588936576061,0.011114779355122702,0.2459190785371043,0.02017534206375408,0.7175452111074428,0.5687245515571696,0.43127544844283044,0.15318586992406735,0.0844062947067239,0.3955100693298118,0.1097538608268222,0.25714390521257474,0.6382744580169473,0.36172554198305273,0.7240013205678442,0.12963574336964895,28.11767726789186,16000,Both Sexes,All Ages,All Races-All Origins
2015,1,Alabama,0,0,0,736,4858979,15.1472,0.55833,14.0529,16.2415,0.5131312387196582,0.48686876128034184,0.4260930421009982,0.17396589192972117,0.39994106596928064,0.004935725072746694,0.01156580352867509,0.2431397104865741,0.022358097904158533,0.7180006630078456,0.5616413127555343,0.43835868724446575,0.158053703635493,0.08468083538988545,0.3815241813694795,0.11190099082839147,0.26384028877675053,0.6360823603079303,0.3639176396920697,0.703893329404398,0.12950753250580133,27.939445283435855,16200,Both Sexes,All Ages,All Races-All Origins
2016,1,Alabama,0,0,0,756,4863300,15.545,0.56537,14.4369,16.6531,0.5161554192229039,0.48384458077709613,0.4233500650678565,0.1737497676147983,0.40290016731734524,0.005093883621490983,0.013273842721695482,0.23695854248001488,0.020487079382784903,0.7241866517940138,0.572150957427031,0.42784904257296896,0.16397099832682654,0.09295408068414203,0.37810001859081616,0.10659973972857409,0.2583751626696412,0.6510503811117309,0.3489496188882692,0.7147053355642312,0.13664249860568878,28.486670384829893,18000,Both Sexes,All Ages,All Races-All Origins
2017,1,Alabama,0,0,0,835,4874747,17.1291,0.59278,15.9673,18.2909,0.5133577208735174,0.48664227912648267,0.42234785500498834,0.17385360085725898,0.4037985441377526,0.006022983409082511,0.014669474928869674,0.23072091046816687,0.021653179617928536,0.7269334515759525,0.5607286701400436,0.43927132985995637,0.16561356834053875,0.09367032479769427,0.3811107416029265,0.09718065255145401,0.2624247127073865,0.6472674869748365,0.3527325130251635,0.7018438458411854,0.13339245464287033,28.474300705760633,18200,Both Sexes,All Ages,All Races-All Origins
2018,1,Alabama,0,0,0,775,4887871,15.8556,0.56955,14.7393,16.9719,0.5128988965105875,0.4871011034894125,0.4204816582165225,0.17804950790337012,0.40146883388010735,0.0053683268714583956,0.0137936176558306,0.21890844020280345,0.023598270205785865,0.7383313450641217,0.5614375186400239,0.43856248135997616,0.16794661497166716,0.09510140172979421,0.3800328064419922,0.09625708320906651,0.2606620936474799,0.658552042946615,0.34144795705338504,0.7164106770056665,0.137936176558306,28.743103191172086,20000,Both Sexes,All Ages,All Races-All Origins
2000,2,Alaska,2014,0,1,48,626932,7.6563,1.1051,5.6452,10.1512,0.5036764705882353,0.4963235294117647,0.28161764705882353,0.15808823529411764,0.5602941176470588,0.08602941176470588,0.04779411764705882,0.02426470588235294,0.03161764705882353,0.8102941176470588,0.6698529411764705,0.3301470588235294,0.1801470588235294,0.10882352941176471,0.3558823529411765,0.058823529411764705,0.2963235294117647,0.7639705882352941,0.23602941176470588,0.9919117647058824,0.20073529411764707,36.89705882352941,25000,Both Sexes,All Ages,All Races-All Origins
2001,2,Alaska,2014,0,1,62,633714,9.7836,1.24252,7.501,12.5421,0.5082536924413553,0.4917463075586447,0.2797567332754127,0.18036490008688097,0.5398783666377064,0.0684622067767159,0.04361424847958297,0.03127715030408341,0.055082536924413554,0.8015638575152042,0.663249348392702,0.336750651607298,0.1900955690703736,0.10217202432667245,0.3676802780191138,0.04900086880973067,0.29105125977410945,0.7551694178974805,0.24483058210251954,0.9450912250217203,0.2107732406602954,36.54821894005213,24400,Both Sexes,All Ages,All Races-All Origins
2002,2,Alaska,2014,0,1,84,642337,13.0772,1.42684,10.4309,16.1905,0.4974579585451701,0.5025420414548298,0.29761439186546734,0.16562377786468518,0.5367618302698475,0.07684786859601095,0.04751662104028158,0.023269456394211966,0.0557293703558858,0.7966366836136097,0.6703167774736019,0.32968322252639815,0.19964802502933124,0.10774344935471256,0.3670316777473602,0.05240516229956981,0.2731716855690262,0.7452092295658975,0.2547907704341025,0.9708642940946421,0.21392256550645286,36.34884630426281,26000,Both Sexes,All Ages,All Races-All Origins
2003,2,Alaska,2014,0,1,83,648414,12.8005,1.40503,10.1955,15.8681,0.5042914696093886,0.4957085303906113,0.301629006831319,0.16307584515677,0.535295148011911,0.07496934664564722,0.04974601506393414,0.03047819232790331,0.04694342266596602,0.7978630232965493,0.6580837274478893,0.3419162725521107,0.1977579260816255,0.10299527062532843,0.36626379400945874,0.045892450516727974,0.28709055876685935,0.7572254335260116,0.24277456647398843,0.9337887545980031,0.2070415133998949,36.033105622701,26000,Both Sexes,All Ages,All Races-All Origins
2004,2,Alaska,2014,0,1,86,659286,13.0444,1.40662,10.4338,16.1097,0.4969496252396723,0.5030503747603277,0.32421126024054386,0.16890360815757363,0.5068851316018825,0.058741502527453374,0.04880599616524316,0.031200976119923306,0.051943524490151646,0.8093080006972285,0.6491197489977341,0.350880251002266,0.1985358201150427,0.10510719888443437,0.3477427226773575,0.04845738190691999,0.30015687641624544,0.742722677357504,0.2572773226424961,0.9144151995816628,0.1804078786822381,35.87188426006624,27000,Both Sexes,All Ages,All Races-All Origins
2005,2,Alaska,2014,0,1,79,666946,11.845,1.33267,9.3778,14.7625,0.4972129319955407,0.5027870680044593,0.32357859531772576,0.16945373467112598,0.5069676700111483,0.20707915273132665,0.04180602006688963,0.017279821627647716,0.052954292084726864,0.6808807134894092,0.6086956521739131,0.391304347826087,0.15997770345596432,0.08946488294314381,0.4188963210702341,0.06911928651059086,0.2625418060200669,0.7157190635451505,0.2842809364548495,1.0253623188405796,0.20986622073578595,35.22408026755853,21450,Both Sexes,All Ages,All Races-All Origins
2006,2,Alaska,2014,0,1,76,675302,11.2542,1.29095,8.867,14.0863,0.47959724430312667,0.5204027556968733,0.3388977212506624,0.18547959724430313,0.47562268150503445,0.21091679915209327,0.04292527821939587,0.016693163751987282,0.059353471118177,0.6701112877583466,0.6104928457869634,0.38950715421303655,0.1589825119236884,0.08664546899841018,0.4003709591944886,0.08823529411764706,0.26576576576576577,0.7019077901430842,0.29809220985691576,0.9925808161102279,0.2143614202437732,36.16057233704292,20000,Both Sexes,All Ages,All Races-All Origins
2007,2,Alaska,2014,0,1,72,680300,10.5836,1.24729,8.281,13.3282,0.4765990639625585,0.5234009360374415,0.3486739469578783,0.1955278211128445,0.45579823192927715,0.2064482579303172,0.04784191367654706,0.02106084243369735,0.05382215288611544,0.6708268330733229,0.5946437857514301,0.40535621424856993,0.14612584503380135,0.08840353614144565,0.41627665106604267,0.07904316172646905,0.2701508060322413,0.7077483099323973,0.2922516900676027,0.9446177847113885,0.20072802912116486,36.29563182527301,23700,Both Sexes,All Ages,All Races-All Origins
2008,2,Alaska,2014,0,1,127,687455,18.4739,1.6393,15.2609,21.687,0.48250460405156537,0.5174953959484346,0.35332807156011575,0.19389634306761377,0.4527755853722705,0.2041568008418837,0.04630360431465404,0.019468560905024992,0.06077348066298342,0.6692975532754538,0.5901078663509602,0.4098921336490397,0.16706129965798475,0.08550381478558274,0.39358063667455934,0.06892922915022362,0.2849250197316496,0.7311233885819521,0.26887661141804786,0.9657984740857669,0.21967903183372797,36.15259142330966,24000,Both Sexes,All Ages,All Races-All Origins
2009,2,Alaska,2014,0,1,131,698895,18.7439,1.63766,15.5341,21.9537,0.4800531914893617,0.5199468085106383,0.3574468085106383,0.1901595744680851,0.4523936170212766,0.20797872340425533,0.05132978723404255,0.027659574468085105,0.05638297872340425,0.6566489361702128,0.5981382978723404,0.4018617021276596,0.17074468085106384,0.08271276595744681,0.3973404255319149,0.06436170212765957,0.2848404255319149,0.7053191489361702,0.2946808510638298,0.9989361702127659,0.2170212765957447,34.36728723404255,23300,Both Sexes,All Ages,All Races-All Origins
2010,2,Alaska,2014,0,1,83,710231,11.6863,1.28274,9.3081,14.487,0.47477174435367614,0.5252282556463239,0.37794329649207115,0.199663623258049,0.42239308024987987,0.2229697260932244,0.05141758769822201,0.025468524747717443,0.05814512253724171,0.6419990389235944,0.5667948101874098,0.4332051898125901,0.16674675636713118,0.08865929841422393,0.37602114368092265,0.07856799615569438,0.2900048053820279,0.6917347429120615,0.3082652570879385,0.9291206150888995,0.20254685247477175,34.695579048534356,22400,Both Sexes,All Ages,All Races-All Origins
2011,2,Alaska,2014,0,1,107,722718,14.8052,1.43127,11.9999,17.6105,0.46932814021421615,0.5306718597857838,0.35345666991236613,0.21859785783836416,0.4279454722492697,0.2974683544303797,0.04990262901655307,0.016553067185978577,0.05720545277507303,0.5788704965920156,0.5357838364167478,0.4642161635832522,0.13583252190847128,0.08008763388510223,0.4315968841285297,0.0798442064264849,0.2726387536514119,0.6833008763388511,0.316699123661149,1.0034079844206427,0.23734177215189872,34.2317429406037,20700,Both Sexes,All Ages,All Races-All Origins
2012,2,Alaska,2014,0,1,129,731449,17.6362,1.55278,14.5928,20.6797,0.4648755237860488,0.5351244762139512,0.3593788513680059,0.21838797140744393,0.42223317722455017,0.29332018733053983,0.049051022923342374,0.018240078876016762,0.06186837564702982,0.5775203352230712,0.5351244762139512,0.4648755237860488,0.13359625338920383,0.07345329060882426,0.43209267931969436,0.08429874291348287,0.27655903376879465,0.659354202612768,0.34064579738723194,0.9854572344096623,0.2223317722455016,34.719743652945525,21000,Both Sexes,All Ages,All Races-All Origins
2013,2,Alaska,2014,0,1,105,735132,14.2831,1.39389,11.5511,17.0152,0.46206720977596744,0.5379327902240326,0.36176171079429736,0.2105397148676171,0.42769857433808556,0.29786150712830956,0.048879837067209775,0.023167006109979633,0.05626272912423625,0.5738289205702648,0.530040733197556,0.469959266802444,0.14231160896130346,0.06975560081466395,0.430244399185336,0.08121181262729124,0.27647657841140527,0.6736252545824847,0.32637474541751527,0.9938900203665988,0.21715885947046842,34.734725050916495,21000,Both Sexes,All Ages,All Races-All Origins
2014,2,Alaska,2014,1,1,124,736732,16.8311,1.51148,13.8686,19.7936,0.4648027958062906,0.5351972041937094,0.37044433349975037,0.21592611083374938,0.4136295556665002,0.2925611582626061,0.05991013479780329,0.01597603594608088,0.059660509236145784,0.5718921617573639,0.5327009485771343,0.4672990514228657,0.15476784822765852,0.0708936595107339,0.4278582126809785,0.07513729405891163,0.27134298552171743,0.6839740389415876,0.3160259610584124,0.9695456814777833,0.23215177234148776,34.8320019970045,23900,Both Sexes,All Ages,All Races-All Origins
2015,2,Alaska,2014,1,1,122,738432,16.5215,1.49579,13.5898,19.4532,0.4732843757913396,0.5267156242086605,0.38465434287161304,0.2248670549506204,0.39047860217776653,0.28057736135730565,0.0592555077234743,0.023297037224613827,0.06786528234996202,0.5690048113446442,0.5424158014687263,0.45758419853127374,0.14358065332995695,0.07470245631805521,0.4355533046340846,0.07470245631805521,0.27146112939984807,0.6761205368447708,0.3238794631552292,0.894403646492783,0.20131678906052164,33.95593821220562,23000,Both Sexes,All Ages,All Races-All Origins
2016,2,Alaska,2014,1,1,128,741894,17.2531,1.52498,14.2642,20.2421,0.46695475343162174,0.5330452465683783,0.3467208947635994,0.23563802745297407,0.4176410777834265,0.3096085409252669,0.06075241484494154,0.01728520589730554,0.05719369598373157,0.5551601423487544,0.5045754956786985,0.4954245043213015,0.1451448906964921,0.07015760040671072,0.44585663446873414,0.07473309608540925,0.2641077783426538,0.666751398068124,0.33324860193187594,0.9654295882053889,0.21225216065073715,33.661921708185055,21000,Both Sexes,All Ages,All Races-All Origins
2017,2,Alaska,2014,1,1,147,739795,19.8704,1.63888,16.6582,23.0826,0.460431654676259,0.539568345323741,0.3658787255909558,0.2147995889003083,0.4193216855087359,0.29933196300102777,0.05626927029804728,0.017985611510791366,0.06963001027749229,0.5567831449126414,0.512846865364851,0.48715313463514903,0.14953751284686537,0.07579650565262076,0.44167523124357655,0.08144912641315519,0.2515416238437821,0.6793422404933196,0.32065775950668035,0.93448098663926,0.19707091469681398,33.297276464542655,23000,Both Sexes,All Ages,All Races-All Origins
2018,2,Alaska,2014,1,1,110,737438,14.9165,1.42223,12.1289,17.7041,0.4622496147919877,0.5377503852080123,0.3602978941961993,0.21340523882896764,0.4262968669748331,0.26245505906522854,0.059322033898305086,0.020030816640986132,0.07524396507447355,0.5829481253210067,0.5400616332819723,0.45993836671802774,0.1566512583461736,0.08731381612737545,0.42501284026707753,0.0603492552645095,0.2706728299948639,0.6954288649203904,0.30457113507960965,0.8839239856189008,0.19131997945557266,34.621212121212125,25000,Both Sexes,All Ages,All Races-All Origins
2000,4,Arizona,0,0,0,522,5130632,10.1742,0.44531,9.3014,11.047,0.5151933701657458,0.48480662983425415,0.3074585635359116,0.1861878453038674,0.5063535911602209,0.02845303867403315,0.026519337016574586,0.02707182320441989,0.08729281767955802,0.8306629834254143,0.6193370165745856,0.3806629834254144,0.1712707182320442,0.08895027624309393,0.3701657458563536,0.11795580110497238,0.2516574585635359,0.7011049723756906,0.2988950276243094,0.8657458563535911,0.19088397790055248,33.033701657458565,19000,Both Sexes,All Ages,All Races-All Origins
2001,4,Arizona,0,0,0,552,5273477,10.4675,0.44553,9.5942,11.3407,0.5222868217054264,0.47771317829457366,0.3189922480620155,0.1861434108527132,0.49486434108527133,0.0312015503875969,0.022577519379844962,0.0249031007751938,0.10901162790697674,0.8123062015503876,0.6218023255813954,0.37819767441860463,0.17451550387596898,0.08284883720930232,0.3751937984496124,0.10978682170542636,0.2576550387596899,0.7098837209302326,0.29011627906976745,0.8737403100775194,0.19641472868217055,33.13934108527132,20000,Both Sexes,All Ages,All Races-All Origins
2002,4,Arizona,0,0,0,624,5396255,11.5636,0.46291,10.6563,12.4709,0.5183960314179413,0.48160396858205873,0.322860686233981,0.18447705663497313,0.4926622571310459,0.027387350144687888,0.02676725919801571,0.023460107482430756,0.12587846217445225,0.7965068210004134,0.6479950392724266,0.35200496072757337,0.1721785861926416,0.09022323274080199,0.3590326581231914,0.10572550640760645,0.27284001653575857,0.69450186027284,0.30549813972716,0.8952046300124018,0.1923315419594874,32.29433650268706,20000,Both Sexes,All Ages,All Races-All Origins
2003,4,Arizona,0,0,0,674,5510364,12.2315,0.47114,11.3081,13.1549,0.5168850341391401,0.48311496586085995,0.3177708064218491,0.19200959586639602,0.49021959771175494,0.029987082487543826,0.027126776157962725,0.02426646982838162,0.1033400996493818,0.8152795718767301,0.6233622439564496,0.3766377560435505,0.17964569108691641,0.09088392692378668,0.34868056837054806,0.111367410961432,0.2694224026573169,0.7043735006458757,0.2956264993541244,0.8990588669496217,0.20741834286768776,31.949068093744234,20000,Both Sexes,All Ages,All Races-All Origins
